year,month,product,rainfall_mm,temperature_c,soil_quality,fertilizer_kg,irrigation,yield_kg_per_ha
2023,1,Tomato,120,26,good,45,1,42000
2023,1,Carrot,110,24,good,50,1,36000
2023,1,Potato,130,22,excellent,55,1,32000
2023,1,Onion,100,25,good,40,1,26000
2023,1,Cabbage,140,23,good,48,1,29000
2023,2,Tomato,150,27,excellent,50,1,45000
2023,2,Carrot,130,25,good,52,1,38000
2023,2,Potato,120,23,good,50,1,31000
2023,2,Onion,110,26,average,42,1,24000
2023,2,Cabbage,160,24,excellent,50,1,31000
2023,3,Tomato,180,28,good,48,1,41000
2023,3,Carrot,170,26,good,50,1,37000
2023,3,Potato,140,24,good,52,1,30000
2023,3,Onion,130,27,good,45,1,25000
2023,3,Cabbage,190,25,good,49,1,28000
2023,4,Tomato,200,29,average,45,1,38000
2023,4,Carrot,190,27,good,48,1,35000
2023,4,Potato,160,25,average,50,1,28000
2023,4,Onion,150,28,good,43,1,24000
2023,4,Cabbage,210,26,good,47,1,27000
2023,5,Tomato,220,30,good,50,1,40000
2023,5,Carrot,200,28,good,51,1,36000
2023,5,Potato,180,26,good,53,1,29000
2023,5,Onion,170,29,good,44,1,25000
2023,5,Cabbage,230,27,good,48,1,28500
2023,6,Tomato,250,31,average,46,1,37000
2023,6,Carrot,240,29,good,49,1,34000
2023,6,Potato,200,27,average,51,1,27000
2023,6,Onion,190,30,average,42,1,23000
2023,6,Cabbage,260,28,good,46,1,26500
2023,7,Tomato,240,30,good,48,1,39000
2023,7,Carrot,230,28,good,50,1,35000
2023,7,Potato,190,26,good,52,1,28500
2023,7,Onion,180,29,good,43,1,24500
2023,7,Cabbage,250,27,good,47,1,27500
2023,8,Tomato,130,27,excellent,52,1,44000
2023,8,Carrot,120,25,excellent,54,1,39000
2023,8,Potato,110,23,excellent,56,1,33000
2023,8,Onion,100,26,good,46,1,27000
2023,8,Cabbage,140,24,excellent,51,1,30000
2023,9,Tomato,150,28,good,50,1,42000
2023,9,Carrot,140,26,good,52,1,37000
2023,9,Potato,130,24,good,54,1,31000
2023,9,Onion,120,27,good,45,1,26000
2023,9,Cabbage,160,25,good,50,1,29000
2023,10,Tomato,170,27,good,49,1,41000
2023,10,Carrot,160,25,good,51,1,36000
2023,10,Potato,150,23,good,53,1,30000
2023,10,Onion,140,26,good,44,1,25500
2023,10,Cabbage,180,24,good,49,1,28500
2023,11,Tomato,140,26,excellent,51,1,43000
2023,11,Carrot,130,24,excellent,53,1,38000
2023,11,Potato,120,22,excellent,55,1,32000
2023,11,Onion,110,25,good,45,1,26500
2023,11,Cabbage,150,23,excellent,50,1,29500
2023,12,Tomato,160,27,good,50,1,42000
2023,12,Carrot,150,25,good,52,1,37000
2023,12,Potato,140,23,good,54,1,31000
2023,12,Onion,130,26,good,46,1,26000
2023,12,Cabbage,170,24,good,51,1,29000
2024,1,Tomato,125,26,good,46,1,41500
2024,1,Carrot,115,24,good,51,1,35500
2024,1,Potato,135,22,excellent,56,1,31500
2024,1,Onion,105,25,good,41,1,25500
2024,1,Cabbage,145,23,good,49,1,28500
2024,2,Tomato,155,27,excellent,51,1,44500
2024,2,Carrot,135,25,good,53,1,37500
2024,2,Potato,125,23,good,51,1,30500
2024,2,Onion,115,26,average,43,1,23500
2024,2,Cabbage,165,24,excellent,51,1,30500
2024,3,Tomato,185,28,good,49,1,40500
2024,3,Carrot,175,26,good,51,1,36500
2024,3,Potato,145,24,good,53,1,29500
2024,3,Onion,135,27,good,46,1,24500
2024,3,Cabbage,195,25,good,50,1,27500
2024,4,Tomato,205,29,average,46,1,37500
2024,4,Carrot,195,27,good,49,1,34500
2024,4,Potato,165,25,average,51,1,27500
2024,4,Onion,155,28,good,44,1,23500
2024,4,Cabbage,215,26,good,48,1,26500
2024,5,Tomato,225,30,good,51,1,39500
2024,5,Carrot,205,28,good,52,1,35500
2024,5,Potato,185,26,good,54,1,28500
2024,5,Onion,175,29,good,45,1,24500
2024,5,Cabbage,235,27,good,49,1,28000
2024,6,Tomato,255,31,average,47,1,36500
2024,6,Carrot,245,29,good,50,1,33500
2024,6,Potato,205,27,average,52,1,26500
2024,6,Onion,195,30,average,43,1,22500
2024,6,Cabbage,265,28,good,47,1,26000
2024,7,Tomato,245,30,good,49,1,38500
2024,7,Carrot,235,28,good,51,1,34500
2024,7,Potato,195,26,good,53,1,28000
2024,7,Onion,185,29,good,44,1,24000
2024,7,Cabbage,255,27,good,48,1,27000
2024,8,Tomato,135,27,excellent,53,1,43500
2024,8,Carrot,125,25,excellent,55,1,38500
2024,8,Potato,115,23,excellent,57,1,32500
2024,8,Onion,105,26,good,47,1,26500
2024,8,Cabbage,145,24,excellent,52,1,29500
2024,9,Tomato,155,28,good,51,1,41500
2024,9,Carrot,145,26,good,53,1,36500
2024,9,Potato,135,24,good,55,1,30500
2024,9,Onion,125,27,good,46,1,25500
2024,9,Cabbage,165,25,good,51,1,28500
2024,10,Tomato,175,27,good,50,1,40500
2024,10,Carrot,165,25,good,52,1,35500
2024,10,Potato,155,23,good,54,1,29500
2024,10,Onion,145,26,good,45,1,25000
2024,10,Cabbage,185,24,good,50,1,28000
2024,11,Tomato,145,26,excellent,52,1,42500
2024,11,Carrot,135,24,excellent,54,1,37500
2024,11,Potato,125,22,excellent,56,1,31500
2024,11,Onion,115,25,good,46,1,26000
2024,11,Cabbage,155,23,excellent,51,1,29000
2024,12,Tomato,165,27,good,51,1,41500
2024,12,Carrot,155,25,good,53,1,36500
2024,12,Potato,145,23,good,55,1,30500
2024,12,Onion,135,26,good,47,1,25500
2024,12,Cabbage,175,24,good,52,1,28500
2025,1,Tomato,128,26,good,47,1,41800
2025,1,Carrot,118,24,good,52,1,35800
2025,1,Potato,138,22,excellent,57,1,31800
2025,1,Onion,108,25,good,42,1,25800
2025,1,Cabbage,148,23,good,50,1,28800
2025,2,Tomato,158,27,excellent,52,1,44800
2025,2,Carrot,138,25,good,54,1,37800
2025,2,Potato,128,23,good,52,1,30800
2025,2,Onion,118,26,average,44,1,23800
2025,2,Cabbage,168,24,excellent,52,1,30800
2025,3,Tomato,188,28,good,50,1,40800
2025,3,Carrot,178,26,good,52,1,36800
2025,3,Potato,148,24,good,54,1,29800
2025,3,Onion,138,27,good,47,1,24800
2025,3,Cabbage,198,25,good,51,1,27800
2025,4,Tomato,208,29,average,47,1,37800
2025,4,Carrot,198,27,good,50,1,34800
2025,4,Potato,168,25,average,52,1,27800
2025,4,Onion,158,28,good,45,1,23800
2025,4,Cabbage,218,26,good,49,1,26800
2025,5,Tomato,228,30,good,52,1,39800
2025,5,Carrot,208,28,good,53,1,35800
2025,5,Potato,188,26,good,55,1,28800
2025,5,Onion,178,29,good,46,1,24800
2025,5,Cabbage,238,27,good,50,1,28300
2025,6,Tomato,258,31,average,48,1,36800
2025,6,Carrot,248,29,good,51,1,33800
2025,6,Potato,208,27,average,53,1,26800
2025,6,Onion,198,30,average,44,1,22800
2025,6,Cabbage,268,28,good,48,1,26300
2025,7,Tomato,248,30,good,50,1,38800
2025,7,Carrot,238,28,good,52,1,34800
2025,7,Potato,198,26,good,54,1,28300
2025,7,Onion,188,29,good,45,1,24300
2025,7,Cabbage,258,27,good,49,1,27300
2025,8,Tomato,138,27,excellent,54,1,43800
2025,8,Carrot,128,25,excellent,56,1,38800
2025,8,Potato,118,23,excellent,58,1,32800
2025,8,Onion,108,26,good,48,1,26800
2025,8,Cabbage,148,24,excellent,53,1,29800
2025,9,Tomato,158,28,good,52,1,41800
2025,9,Carrot,148,26,good,54,1,36800
2025,9,Potato,138,24,good,56,1,30800
2025,9,Onion,128,27,good,47,1,25800
2025,9,Cabbage,168,25,good,52,1,28800
2025,10,Tomato,178,27,good,51,1,40800
2025,10,Carrot,168,25,good,53,1,35800
2025,10,Potato,158,23,good,55,1,29800
2025,10,Onion,148,26,good,46,1,25300
2025,10,Cabbage,188,24,good,51,1,28300
2025,11,Tomato,148,26,excellent,53,1,42800
2025,11,Carrot,138,24,excellent,55,1,37800
2025,11,Potato,128,22,excellent,57,1,31800
2025,11,Onion,118,25,good,47,1,26300
2025,11,Cabbage,158,23,excellent,52,1,29300
2025,12,Tomato,168,27,good,52,1,41800
2025,12,Carrot,158,25,good,54,1,36800
2025,12,Potato,148,23,good,56,1,30800
2025,12,Onion,138,26,good,48,1,25800
2025,12,Cabbage,178,24,good,53,1,28800
